iter	MultiClass
149	0.3923400303
150	0.3922902455
151	0.3922414083
152	0.3921934909
153	0.3921464665
154	0.3921003093
155	0.3920549945
156	0.3920104985
157	0.3919667984
158	0.3919238721
159	0.3918816987
160	0.3918402577
161	0.3917995296
162	0.3917594954
163	0.391720137
164	0.3916814369
165	0.3916433781
166	0.3916059443
167	0.3915691197
168	0.3915328892
169	0.3914972381
170	0.3914621521
171	0.3914276175
172	0.3913936211
173	0.39136015
174	0.3913271917
175	0.3912947344
176	0.3912627663
177	0.3912312762
178	0.3912002532
179	0.3911696866
180	0.3911395663
181	0.3911098823
182	0.3910806249
183	0.3910517849
184	0.3910233531
185	0.3909953208
186	0.3909676793
187	0.3909404205
188	0.3909135362
189	0.3908870186
190	0.3908608602
191	0.3908350535
192	0.3908095913
193	0.3907844666
194	0.3907595552
195	0.390735059
196	0.390710882
197	0.3906870178
198	0.3906634603
199	0.3906402035
200	0.3906172414
201	0.3905945684
202	0.3905721789
203	0.3905500677
204	0.3905282293
205	0.3905066587
206	0.3904853508
207	0.3904643009
208	0.3904435042
209	0.3904229561
210	0.390402652
211	0.3903825876
212	0.3903627586
213	0.3903431607
214	0.39032379
215	0.3903046425
216	0.3902857141
217	0.3902670013
218	0.3902485001
219	0.3902302071
220	0.3902121187
221	0.3901942314
222	0.3901765418
223	0.3901590467
224	0.3901417429
225	0.3901246271
226	0.3901076963
227	0.3900909474
228	0.3900743776
229	0.390057984
230	0.3900417636
231	0.3900257139
232	0.390009832
233	0.3899941153
234	0.3899785612
235	0.3899631673
236	0.3899479309
237	0.3899328498
238	0.3899179215
239	0.3899031437
240	0.389888514
241	0.3898740304
242	0.3898596905
243	0.3898454923
244	0.3898314336
245	0.3898175124
246	0.3898037266
247	0.3897900743
248	0.3897765536
249	0.3897631625
250	0.3897498992
251	0.3897367618
252	0.3897237485
253	0.3897108577
254	0.3896980875
255	0.3896854363
256	0.3896729024
257	0.3896604841
258	0.3896481799
259	0.3896359883
260	0.3896239076
261	0.3896119363
262	0.389600073
263	0.3895883163
264	0.3895766645
265	0.3895651165
266	0.3895536707
267	0.3895423259
268	0.3895310806
269	0.3895199337
270	0.3895088837
271	0.3894979295
272	0.3894870697
273	0.3894763033
274	0.3894656289
275	0.3894550454
276	0.3894445516
277	0.3894341465
278	0.3894238288
279	0.3894135975
280	0.3894034515
281	0.3893933897
282	0.389379426
283	0.389369558
284	0.3893597711
285	0.3893500642
286	0.3893404363
287	0.3893308865
288	0.3893214137
289	0.389312017
290	0.3893026956
291	0.3892934484
292	0.3892842747
293	0.3892751735
294	0.389266144
295	0.3892571852
296	0.3892482965
297	0.3892394769
298	0.3892307257
299	0.389222042
300	0.3892134251
301	0.3892048742
302	0.3891963885
303	0.3891879673
304	0.3891796099
305	0.3891713155
306	0.3891630835
307	0.389154913
308	0.3891468035
309	0.3891387543
310	0.3891307646
311	0.3891228339
312	0.3891149614
313	0.3891071466
314	0.3890993888
315	0.3890916873
316	0.3890840416
317	0.3890757135
318	0.3890681802
319	0.389060701
320	0.3890532752
321	0.3890459024
322	0.3890385819
323	0.3890313131
324	0.3890240956
325	0.3890169288
326	0.3890098121
327	0.389002745
328	0.388995727
329	0.3889887576
330	0.3889818363
331	0.3889749625
332	0.3889681358
333	0.3889613557
334	0.3889546217
335	0.3889479334
336	0.3889412902
337	0.3889346918
338	0.3889281377
339	0.3889216274
340	0.3889151605
341	0.3889087365
342	0.3889023551
343	0.3888960158
344	0.3888897181
345	0.3888834618
346	0.3888772464
347	0.3888710714
348	0.3888649365
349	0.3888588413
350	0.3888527855
351	0.3888467685
352	0.3888407902
353	0.38883485
354	0.3888289477
355	0.3888230828
356	0.388817255
357	0.388811464
358	0.3888057094
359	0.3887999909
360	0.3887943082
361	0.3887886608
362	0.3887830485
363	0.388777471
364	0.3887719279
365	0.3887664189
366	0.3887609437
367	0.388755502
368	0.3887500934
369	0.3887447178
370	0.3887393747
371	0.388734064
372	0.3887287852
373	0.3887235381
374	0.3887183225
375	0.388713138
376	0.3887079843
377	0.3887028613
378	0.3886977686
379	0.388692706
380	0.3886876731
381	0.3886826698
382	0.3886776957
383	0.3886727506
384	0.3886678344
385	0.3886629466
386	0.3886580871
387	0.3886532556
388	0.3886484519
389	0.3886436757
390	0.3886389269
391	0.3886342051
392	0.3886295102
393	0.3886248419
394	0.3886201999
395	0.3886155842
396	0.3886109944
397	0.3886064303
398	0.3886018918
399	0.3885973785
400	0.3885928904
401	0.3885884271
402	0.3885839885
403	0.3885795744
404	0.3885751846
405	0.3885708188
406	0.388566477
407	0.3885621588
408	0.3885578641
409	0.3885535927
410	0.3885493444
411	0.388545119
412	0.3885409164
413	0.3885367364
414	0.3885325787
415	0.3885284432
416	0.3885243298
417	0.3885202382
418	0.3885161682
419	0.3885121198
420	0.3885080927
421	0.3885040868
422	0.3885001019
423	0.3884961378
424	0.3884921944
425	0.3884882715
426	0.388484369
427	0.3884804866
428	0.3884766243
429	0.3884727819
430	0.3884689592
431	0.3884651562
432	0.3884613725
433	0.3884576081
434	0.3884538629
435	0.3884501367
436	0.3884464293
437	0.3884427406
438	0.3884390705
439	0.3884354188
440	0.3884317854
441	0.3884281702
442	0.388424573
443	0.3884209937
444	0.3884174321
445	0.3884138881
446	0.3884103617
447	0.3884068526
448	0.3884033607
449	0.388399886
450	0.3883964282
451	0.3883929873
452	0.3883895631
453	0.3883861555
454	0.3883827645
455	0.3883793898
456	0.3883760314
457	0.3883726891
458	0.3883693628
459	0.3883660525
460	0.3883627579
461	0.3883594791
462	0.3883562158
463	0.388352968
464	0.3883497355
465	0.3883465183
466	0.3883433162
467	0.3883401292
468	0.388336957
469	0.3883337997
470	0.3883306572
471	0.3883275292
472	0.3883244158
473	0.3883213168
474	0.3883182321
475	0.3883151616
476	0.3883121052
477	0.3883090629
478	0.3883060345
479	0.3883030199
480	0.3883000191
481	0.3882970319
482	0.3882940583
483	0.3882910981
484	0.3882881513
485	0.3882852178
486	0.3882822974
487	0.3882793902
488	0.388276496
489	0.3882736147
490	0.3882707463
491	0.3882678906
492	0.3882650476
493	0.3882622171
494	0.3882593992
495	0.3882565937
496	0.3882538006
497	0.3882510197
498	0.388248251
499	0.3882454944
500	0.3882427498
501	0.3882400171
502	0.3882372964
503	0.3882345874
504	0.3882318901
505	0.3882292045
506	0.3882265304
507	0.3882238678
508	0.3882212166
509	0.3882185768
510	0.3882159483
511	0.3882133309
512	0.3882107247
513	0.3882081295
514	0.3882055453
515	0.388202972
516	0.3882004096
517	0.388197858
518	0.3881953171
519	0.3881927868
520	0.3881902671
521	0.3881877579
522	0.3881852591
523	0.3881827708
524	0.3881802927
525	0.388177825
526	0.3881753674
527	0.3881729199
528	0.3881704825
529	0.3881680551
530	0.3881656377
531	0.3881632301
532	0.3881608324
533	0.3881584444
534	0.3881560661
535	0.3881536975
536	0.3881513385
537	0.388148989
538	0.3881466489
539	0.3881443183
540	0.388141997
541	0.3881396851
542	0.3881373824
543	0.3881350888
544	0.3881328044
545	0.3881305291
546	0.3881282629
547	0.3881260056
548	0.3881237572
549	0.3881215177
550	0.388119287
551	0.3881170651
552	0.3881148518
553	0.3881126473
554	0.3881104514
555	0.388108264
556	0.3881060851
557	0.3881039147
558	0.3881017528
559	0.3880995991
560	0.3880974538
561	0.3880953168
562	0.388093188
563	0.3880910674
564	0.3880889549
565	0.3880868505
566	0.3880847541
567	0.3880826657
568	0.3880805853
569	0.3880785127
570	0.388076448
571	0.3880743911
572	0.388072342
573	0.3880703006
574	0.3880682669
575	0.3880662408
576	0.3880642224
577	0.3880622114
578	0.388060208
579	0.3880582121
580	0.3880562235
581	0.3880542424
582	0.3880522686
583	0.3880503021
584	0.3880483429
585	0.3880463908
586	0.388044446
587	0.3880425083
588	0.3880405778
589	0.3880386542
590	0.3880367378
591	0.3880348283
592	0.3880329257
593	0.3880310301
594	0.3880291413
595	0.3880272594
596	0.3880253843
597	0.3880235159
598	0.3880216543
599	0.3880197994
600	0.3880179511
601	0.3880161095
602	0.3880142744
603	0.3880124459
604	0.3880106239
605	0.3880088084
606	0.3880069993
607	0.3880051966
608	0.3880034004
609	0.3880016104
610	0.3879998268
611	0.3879980495
612	0.3879962784
613	0.3879945135
614	0.3879927548
615	0.3879910022
616	0.3879892558
617	0.3879875154
618	0.3879857811
619	0.3879840528
620	0.3879823305
621	0.3879806142
622	0.3879789038
623	0.3879771993
624	0.3879755007
625	0.3879735864
626	0.3879718998
627	0.3879702191
628	0.387968544
629	0.3879668747
630	0.3879652111
631	0.3879635532
632	0.3879619009
633	0.3879602543
634	0.3879586132
635	0.3879569777
636	0.3879553477
637	0.3879537232
638	0.3879521041
639	0.3879504905
640	0.3879488824
641	0.3879472796
642	0.3879456821
643	0.38794409
644	0.3879425032
645	0.3879409217
646	0.3879393454
647	0.3879377744
648	0.3879362085
649	0.3879346478
650	0.3879330923
651	0.3879315419
652	0.3879299966
653	0.3879284563
654	0.3879269211
655	0.387925391
656	0.3879238658
657	0.3879223456
658	0.3879208303
659	0.38791932
660	0.3879178146
661	0.387916314
662	0.3879148183
663	0.3879133274
664	0.3879118413
665	0.3879103601
666	0.3879088835
667	0.3879074117
668	0.3879059447
669	0.3879044823
670	0.3879030246
671	0.3879015715
672	0.387900123
673	0.3878986792
674	0.3878972399
675	0.3878958052
676	0.3878943751
677	0.3878929494
678	0.3878915283
679	0.3878901116
680	0.3878886994
681	0.3878872916
682	0.3878858882
683	0.3878844892
684	0.3878830946
685	0.3878817043
686	0.3878803184
687	0.3878789367
688	0.3878775594
689	0.3878761863
690	0.3878748175
691	0.3878734529
692	0.3878720925
693	0.3878707363
694	0.3878693843
695	0.3878680364
696	0.3878666927
697	0.3878653531
698	0.3878640176
699	0.3878626861
700	0.3878613588
701	0.3878600354
702	0.3878587161
703	0.3878574008
704	0.3878560894
705	0.3878547821
706	0.3878534787
707	0.3878521792
708	0.3878508836
709	0.387849592
710	0.3878483042
711	0.3878470202
712	0.3878457402
713	0.3878444639
714	0.3878431915
715	0.3878419228
716	0.3878404754
717	0.3878392146
718	0.3878379575
719	0.3878367042
720	0.3878354547
721	0.3878342088
722	0.3878329666
723	0.3878317281
724	0.3878304932
725	0.387829262
726	0.3878280344
727	0.3878268104
728	0.38782559
729	0.3878243731
730	0.3878231598
731	0.38782195
732	0.3878207438
733	0.3878195411
734	0.3878183418
735	0.3878171461
736	0.3878159537
737	0.3878147649
738	0.3878135794
739	0.3878123974
740	0.3878112188
741	0.3878100436
742	0.3878088717
743	0.3878077032
744	0.3878065381
745	0.3878053762
746	0.3878042177
747	0.3878030625
748	0.3878019105
749	0.3878007619
750	0.3877996165
751	0.3877984743
752	0.3877973354
753	0.3877961996
754	0.3877950671
755	0.3877939378
756	0.3877928116
757	0.3877916886
758	0.3877905688
759	0.3877894521
760	0.3877883385
761	0.387787228
762	0.3877861206
763	0.3877850163
764	0.3877839151
765	0.3877828169
766	0.3877817218
767	0.3877806297
768	0.3877795406
769	0.3877784546
770	0.3877773715
771	0.3877762914
772	0.3877752143
773	0.3877741402
774	0.3877730689
775	0.3877720007
776	0.3877709353
777	0.3877698729
778	0.3877688133
779	0.3877677567
780	0.3877667029
781	0.387765652
782	0.3877646039
783	0.3877635587
784	0.3877625163
785	0.3877614767
786	0.3877604399
787	0.3877594059
788	0.3877583747
789	0.3877573463
790	0.3877563206
791	0.3877552977
792	0.3877542775
793	0.3877527744
794	0.3877517607
795	0.3877507497
796	0.3877497415
797	0.3877487359
798	0.387747733
799	0.3877467328
800	0.3877457353
801	0.3877447404
802	0.3877437481
803	0.3877427585
804	0.3877417715
805	0.3877407871
806	0.3877398053
807	0.3877388261
808	0.3877378494
809	0.3877368753
810	0.3877359037
811	0.3877349347
812	0.3877339683
813	0.3877330043
814	0.3877320429
815	0.3877310839
816	0.3877301275
817	0.3877291735
818	0.387728222
819	0.3877272729
820	0.3877263263
821	0.3877253822
822	0.3877244405
823	0.3877235012
824	0.3877225643
825	0.3877216298
826	0.3877206977
827	0.3877196297
828	0.3877187025
829	0.3877177777
830	0.3877168553
831	0.3877159352
832	0.3877150175
833	0.3877141022
834	0.3877131891
835	0.3877122784
836	0.38771137
837	0.3877104639
838	0.3877095601
839	0.3877086586
840	0.3877077593
841	0.3877068623
842	0.3877059676
843	0.3877050751
844	0.3877041848
845	0.3877032968
846	0.387702411
847	0.3877015274
848	0.387700646
849	0.3876997668
850	0.3876988898
851	0.387698015
852	0.3876971423
853	0.3876962719
854	0.3876954035
855	0.3876945373
856	0.3876936733
857	0.3876928113
858	0.3876919515
859	0.3876910939
860	0.3876902383
861	0.3876893848
862	0.3876885334
863	0.3876876841
864	0.3876868369
865	0.3876859917
866	0.3876851486
867	0.3876843075
868	0.3876834685
869	0.3876826316
870	0.3876817966
871	0.3876809637
872	0.3876801328
873	0.3876793039
874	0.387678477
875	0.3876776521
876	0.3876768292
877	0.3876760083
878	0.3876751893
879	0.3876743724
880	0.3876735573
881	0.3876727442
882	0.3876719331
883	0.3876711239
884	0.3876703166
885	0.3876695113
886	0.3876687079
887	0.3876679063
888	0.3876671067
889	0.387666309
890	0.3876655132
891	0.3876647192
892	0.3876639272
893	0.387663137
894	0.3876623486
895	0.3876615622
896	0.3876607775
897	0.3876599947
898	0.3876592138
899	0.3876584347
900	0.3876576574
901	0.3876568819
902	0.3876561083
903	0.3876553364
904	0.3876545663
905	0.3876537981
906	0.3876530316
907	0.3876522669
908	0.387651504
909	0.3876507428
910	0.3876499834
911	0.3876492258
912	0.3876484699
913	0.3876477157
914	0.3876469633
915	0.3876462127
916	0.3876454637
917	0.3876447165
918	0.387643971
919	0.3876432272
920	0.3876424851
921	0.3876417446
922	0.3876410059
923	0.3876402689
924	0.3876395335
925	0.3876387999
926	0.3876380678
927	0.3876373375
928	0.3876366088
929	0.3876358818
930	0.3876351564
931	0.3876344326
932	0.3876337105
933	0.38763299
934	0.3876322711
935	0.3876315538
936	0.3876308382
937	0.3876301242
938	0.3876294117
939	0.3876287009
940	0.3876279917
941	0.387627284
942	0.3876265779
943	0.3876258734
944	0.3876251705
945	0.3876244691
946	0.3876237693
947	0.387623071
948	0.3876223743
949	0.3876216792
950	0.3876209855
951	0.3876202934
952	0.3876196029
953	0.3876189138
954	0.3876182263
955	0.3876175403
956	0.3876168558
957	0.3876161728
958	0.3876154913
959	0.3876148113
960	0.3876141328
961	0.3876134558
962	0.3876127802
963	0.3876121061
964	0.3876114335
965	0.3876107624
966	0.3876100927
967	0.3876094245
968	0.3876087577
969	0.3876080924
970	0.3876074285
971	0.387606766
972	0.387606105
973	0.3876054454
974	0.3876047872
975	0.3876041305
976	0.3876034751
977	0.3876028212
978	0.3876021687
979	0.3876015176
980	0.3876008678
981	0.3876002195
982	0.3875995725
983	0.387598927
984	0.3875982828
985	0.38759764
986	0.3875969985
987	0.3875963584
988	0.3875957197
989	0.3875950823
990	0.3875944463
991	0.3875938116
992	0.3875931783
993	0.3875925463
994	0.3875919157
995	0.3875912864
996	0.3875906584
997	0.3875900317
998	0.3875894063
999	0.3875887823
